"0","1"
"Abiraterone Acetate","Joint swelling/discomfort 2|Muscle discomfort 3|Edema 4|Hot flush|Hypertension|Diarrhea|Dyspepsia|Urinary tract infection|Upper respiratory tract infection|Cough|Urinary frequency|Nocturia|Fractures 5|Arrhythmia 6|Chest pain or chest discomfort 7|Cardiac failure 8|System/Organ Class|Joint swelling/discomfort Includes terms Arthritis, Arthralgia, Joint swelling, and Joint stiffness.|Muscle discomfort Includes terms Muscle spasms, Musculoskeletal pain, Myalgia, Musculoskeletal discomfort, and Musculoskeletal stiffness.|General disorders|Edema Includes terms Edema, Edema peripheral, Pitting edema, and Generalized edema.|Vascular disorders|Gastrointestinal disorders|Infections and infestations|Renal and urinary disorders|Fractures Includes all fractures with the exception of pathological fracture.|Cardiac disorders|Arrhythmia Includes terms Arrhythmia, Tachycardia, Atrial fibrillation, Supraventricular tachycardia, Atrial tachycardia, Ventricular tachycardia, Atrial flutter, Bradycardia, Atrioventricular block complete, Conduction disorder, and Bradyarrhythmia.|Cardiac failure Includes terms Cardiac failure, Cardiac failure congestive, Left ventricular dysfunction, Cardiogenic shock, Cardiomegaly, Cardiomyopathy, and Ejection fraction decreased.|Musculoskeletal and connective tissue disorders|Joint swelling/discomfort2|Muscle discomfort3|Edema4|Respiratory, thoracic and mediastinal disorders|Injury, poisoning and procedural complications|Fractures5|Arrhythmia6|Chest pain or chest discomfort7|Cardiac failure8|Musculoskeletal and connective tissue disorders Joint swelling/discomfort2 Muscle discomfort3|General disorders Edema4|Vascular disorders Hot flush Hypertension|Gastrointestinal disorders Diarrhea Dyspepsia|Infections and infestations Urinary tract infection Upper respiratory tract infection|Respiratory, thoracic and mediastinal disorders Cough|Renal and urinary disorders Urinary frequency Nocturia|Injury, poisoning and procedural complications Fractures5|Cardiac disorders Arrhythmia6 Chest pain or chest discomfort7 Cardiac failure8|Joint swelling/discomfortIncludes terms Arthritis, Arthralgia, Joint swelling, and Joint stiffness.|Muscle discomfortIncludes terms Muscle spasms, Musculoskeletal pain, Myalgia, Musculoskeletal discomfort, and Musculoskeletal stiffness.|EdemaIncludes terms Edema, Edema peripheral, Pitting edema, and Generalized edema.|FracturesIncludes all fractures with the exception of pathological fracture.|ArrhythmiaIncludes terms Arrhythmia, Tachycardia, Atrial fibrillation, Supraventricular tachycardia, Atrial tachycardia, Ventricular tachycardia, Atrial flutter, Bradycardia, Atrioventricular block complete, Conduction disorder, and Bradyarrhythmia.|Cardiac failureIncludes terms Cardiac failure, Cardiac failure congestive, Left ventricular dysfunction, Cardiogenic shock, Cardiomegaly, Cardiomyopathy, and Ejection fraction decreased."
"Abraxane","Bone Marrow|Neutropenia|Thrombocytopenia|Anemia|Infections|Febrile Neutropenia|Neutropenic Sepsis|Bleeding|Hypersensitivity Reactionb|All|Severec|Cardiovascular|Vital Sign Changes During Administration|Bradycardia|Hypotension|Severe Cardiovascular Eventsc|Abnormal ECG|All Patients|Patients with Normal Baseline|Respiratory|Cough|Dyspnea|Sensory Neuropathy|Any Symptoms|Severe Symptomsc|Myalgia / Arthralgia|Asthenia|Fluid Retention/Edema|Gastrointestinal|Nausea|Vomiting|Diarrhea|Mucositis|Alopecia|Hepatic (Patients with Normal Baseline)|Bilirubin Elevations|Alkaline Phosphatase Elevations|AST (SGOT) Elevations|Injection Site Reaction|a Paclitaxel injection patients received premedication. b Includes treatment-related events related to hypersensitivity (e.g., flushing, dyspnea, chest pain, hypotension) that began on a day of dosing. c Severe events are defined as at least Grade 3 toxicity."
"Acamprosate Calcium","Number of patients in Treatment Group|Accidental Injury includes events coded as â€œfractureâ€� by sponsor;|Asthenia|Pain|Digestive System|Anorexia|Diarrhea|Flatulence|Nausea|Nervous System|Anxiety includes events coded as â€œnervousnessâ€� by sponsor|Depression|Dizziness|Dry mouth|Insomnia|Paresthesia|Skin and Appendages|Pruritus|Sweating|Accidental Injury*â€ |Anxietyâ€ â€ **|Number of Patients in Treatment Group|Accidental Injury â€¡|Anxiety Â§|Accidental Injuryincludes events coded as â€œfractureâ€� by sponsor.|Anxietyincludes events coded as â€œnervousnessâ€� by sponsor.|Number of patients inTreatment Group|Accidental Injuryincludes events coded as â€œfractureâ€� by sponsor;|Anxietyincludes events coded as â€œnervousnessâ€� by sponsor|Accidental Injuryincludes 258 patients treated with acamprosate calcium 2000 mg/day, using a different dosage strength and regimen.|Anxietyincludes all patients in the first two columns as well as 83 patients treated with acamprosate calcium 3000 mg/day, using a different dosage strength and regimen."
"Acanya","Erythema|Scaling|Itching|Burning|Stinging"
"Accupril","Headache|Dizziness|Fatigue|Coughing|Nausea and/or Vomiting|Abdominal Pain"
"Accuretic","Headache|Dizziness|Coughing|Fatigue|Myalgia|Viral Infection|Rhinitis|Nausea and/or Vomiting|Abdominal Pain|Back Pain|Diarrhea|Upper Respiratory Infection|Insomnia|Somnolence|Bronchitis|Dyspepsia|Asthenia|Pharyngitis|Vasodilatation|Vertigo|Chest Pain"
"Acebutolol Hydrochloride","Cardiovascular|Chest Pain|Edema|Central Nervous System|Depression|Dizziness|Fatigue|Headache|Insomnia|Abnormal dreams|Dermatologic|Rash|Gastrointestinal|Constipation|Diarrhea|Dyspepsia|Flatulence|Nausea|Genitourinary|Micturition (frequency)|Musculoskeletal|Arthralgia|Myalgia|Respiratory|Cough|Dyspnea|Rhinitis|Special Senses|Abnormal Vision"
"Acetaminophen","Gastrointestinal Disorders|Nausea|Vomiting|General Disorders and Administration Site Conditions|Pyrexia*|Nervous System Disorders|Headache|Psychiatric Disorders|Insomnia|Gastrointestinal Disorders Nausea Vomiting|Nervous System Disorders Headache|Psychiatric Disorders Insomnia|General Disorders and Administration Site Conditions Pyrexia*|Gastrointestinal DisordersNausea Vomiting|General Disorders and Administration Site ConditionsPyrexia*|Nervous System DisordersHeadache|Psychiatric DisordersInsomnia"
"Acetylcysteine","Tachycardia NOS|Nausea|Vomiting NOS|Hypersensitivity reaction|Pharyngitis|Rhinorrhea|Rhonchi|Throat tightness|Pruritus|Rash NOS|Flushing|Severity: Tachycardia NOS|Severity: Nausea Vomiting NOS|Severity: Anaphylactoid reaction|Severity: Pharyngitis Rhinorrhoea Rhonchi Throat tightness|Severity: Pruritus Rash NOS|Severity: Flushing|Rhinorrhoea|Severity:Tachycardia NOS|Severity:NauseaVomiting NOS|Severity:Hypersensitivity reaction"
"Acitretin","CNS|Eye Disorders|Musculoskeletal|Skin and Appendages"
"Actemra","AST (U/L)|ALT (U/L)"
"Activase","All-Cause 90-day Mortality|Total ICHWithin trial follow-up period. Symptomatic intracranial hemorrhage was defined as the occurrence of sudden clinical worsening followed by subsequent verification of intracranial hemorrhage on CT scan. Asymptomatic intracranial hemorrhage was defined as intracranial hemorrhage detected on a routine repeat CT scan without preceding clinical worsening.|Symptomatic|Asymptomatic|Symptomatic Intracranial Hemorrhage within 36 hours|New Ischemic Stroke (3-months)"
"Actoplus Met","Upper Respiratory Tract Infection|Headache|Sinusitis|Myalgia|Pharyngitis"
"Actoplus Met Xr","Upper Respiratory Tract Infection|Headache|Sinusitis|Myalgia|Pharyngitis"
"Actos","Upper Respiratory Tract Infection|Headache|Sinusitis|Myalgia|Pharyngitis"
"Aczone","Erythema|Dryness|Oiliness/Peeling|Application Site Dryness|Application Site Pruritus"
"Aczone 7.5","Application Site Dryness|Application Site Pruritus"
"Adakveo","Nausea|Abdominal paina|Arthralgia|Back pain|Pyrexia"
"Adapalene","Erythema|Scaling|Dryness|Burning/Stinging|Pruritis (persistent)|Burning/Stinging (persistent)|Pruritus (persistent)"
"Adapalene And Benzoyl Peroxide","Skin irritation|Eczema|Dermatitis atopic|Skin burning sensation|Subjects with AE (s)|Dry Skin|Contact dermatitis|Application site burning|Application site irritation"
"Adasuve","Dysgeusia|Sedation|Throat Irritation"
"Adcetris","Blood and lymphatic system disorders|Anemia*|Neutropenia*|Febrile neutropenia|Gastrointestinal disorders|Constipation|Vomiting|Diarrhea|Stomatitis|Abdominal pain|Nervous system disorders|Peripheral sensory neuropathy|Peripheral motor neuropathy|General disorders and administration site conditions|Pyrexia|Musculoskeletal and connective tissue disorders|Bone pain|Back pain|Skin and subcutaneous tissue disorders|Rashes, eruptions and exanthemsa|Respiratory, thoracic and mediastinal disorders|Dyspnea|Investigations|Decreased weight|Increased alanine aminotransferase|Metabolism and nutrition disorders|Decreased appetite|Psychiatric disorders|Insomnia"
"Adcirca","EVENT|Headache|Myalgia|Nasopharyngitis|Flushing|Respiratory Tract Infection (Upper and Lower)|Pain in Extremity|Nausea|Back Pain|Dyspepsia|Nasal Congestion (Including sinus congestion)"
"Adefovir Dipivoxil","Asthenia|Headache|Abdominal Pain|Nausea|Flatulence|Diarrhea|Dyspepsia"
"Adempas","Headache|Dyspepsia and Gastritis|Dizziness|Nausea|Diarrhea|Hypotension|Vomiting|Anemia (including laboratory parameters)|Gastroesophageal reflux disease|Constipation"
"Adenosine","Flushing|Chest discomfort|Dyspnea|Headache|Throat, neck or jaw discomfort|Gastrointestinal discomfort|Lightheadedness/dizziness|Upper extremity discomfort|ST segment depression|First-degree AV block|Second-degree AV block|Paresthesia|Hypotension|Nervousness|Arrhythmias|Cardiovascular|Respiratory|Central Nervous System|Gastrointestinal"
"Adhansia Xr","Initial Insomnia|Insomnia|Dry mouth|Nausea|Diarrhea|Decreased appetite|Feeling jittery|Weight decreased|Upper respiratory tract infection"
"Adlarity","Nausea|Diarrhea|Vomiting"
"Adlyxin","Nausea|Vomiting|Headache|Diarrhea|Dizziness"
"Admelog","Nasopharyngitis|Upper respiratory tract infection"
"Adriamycin","Shock, sepsis|Systemic infection|Alopecia|Cardiac dysfunction Asymptomatic Transient Symptomatic"
"Aduhelm","ARIA-E|Headachea|ARIA-H microhemorrhage|ARIA-H superficial siderosis|Fall|Diarrheab|Confusion/Delirium/Altered Mental Status/Disorientationc"
"Advair Diskus","Ear, nose, and throat|Upper respiratory tract infection|Pharyngitis|Upper respiratory inflammation|Sinusitis|Hoarseness/dysphonia|Oral candidiasis|Lower respiratory|Viral respiratory infections|Bronchitis|Cough|Neurology|Headaches|Gastrointestinal|Nausea and vomiting|Gastrointestinal discomfort and pain|Diarrhea|Viral gastrointestinal infections|Non-site specific|Candidiasis unspecified site|Musculoskeletal|Musculoskeletal pain"
"Advair Hfa","Ear, nose, and throat|Upper respiratory tract infection|Throat irritation|Upper respiratory inflammation|Hoarseness/dysphonia|Lower respiratory|Viral respiratory infection|Neurology|Headache|Dizziness|Gastrointestinal|Nausea and vomiting|Viral gastrointestinal infection|Gastrointestinal signs and symptoms|Musculoskeletal|Musculoskeletal pain|Muscle pain"
"Afrezza","Cough|Throat pain or irritation|Headache|Diarrhea|Productive cough|Fatigue|Nausea"
"Aggrastat","Major Bleeding|Minor Bleeding|Transfusions"
"Agrylin","Cardiac disorders|Palpitations|Tachycardia|Chest pain|General disorders and administration site conditions|Asthenia|Edema|Pain|Fever|Peripheral edema|Malaise|Gastrointestinal disorders|Diarrhea|Nausea|Abdominal pain|Vomiting|Flatulence|Anorexia|Dyspepsia|Respiratory, thoracic and mediastinal disorders|Dyspnea|Cough|Skin and subcutaneous tissue disorders|Rash|Pruritus|Musculoskeletal and connective tissue disorders|Back pain|Nervous system disorders|Headache|Dizziness|Paresthesia"
"Aimovig","Constipation|Cramps, muscle spasms"
"Airduo Digihaler","Nasopharyngitis|Oral candidiasis*|Headache|Cough|Back pain"
"Airduo Respiclick","Nasopharyngitis|Oral candidiasis*|Headache|Cough|Back pain"
"Ajovy","Injection site reactionsa"
"Aklief","Application site irritation|Application site pruritus|Sunburn"
"Akynzeo","Dyspepsia|Fatigue|Constipation|Erythema"
"Albendazole","Abdominal Pain|Nausea|Vomiting|Fever|Elevated Hepatic Enzymes|Dizziness|Headache|Meningeal Signs|Raised Intracranial Pressure|Vertigo|Reversible Alopecia|Gastrointestinal|General disorders and administration site conditions|Investigations|Nervous system disorders|Skin and subcutaneous tissue disorders"
"Albendazole 200 Mg","Abdominal Pain|Nausea|Vomiting|Fever|Elevated Hepatic Enzymes|Dizziness|Headache|Meningeal Signs|Raised Intracranial Pressure|Vertigo|Reversible Alopecia"
"Albenza","Abdominal Pain|Nausea|Vomiting|Fever|Elevated Hepatic Enzymes|Dizziness|Headache|Meningeal Signs|Raised Intracranial Pressure|Vertigo|Reversible Alopecia"
"Albuterol","Central nervous system|Nervousness|Tremor|Headache|Sleeplessness|Weakness|Dizziness|Drowsiness|Restlessness|Irritability|Cardiovascular|Tachycardia|Palpitations|Chest discomfort|Flushing|Musculoskeletal|Muscle cramps|Gastrointestinal|Nausea|Genitourinary|Difficulty in micturition"
"Albuterol Sulate Hfa","Ear, nose, and throat|Throat irritation|Upper respiratory inflammation|Lower respiratory|Viral respiratory infections|Cough|Musculoskeletal|Musculoskeletal pain"
"Albuterol Sulfate","Reaction|Tremors|Headache|Insomnia|Hypertension|Arrhythmias|Cough|Bronchitis|Wheeze|Sputum Increase|Dyspnea|Nausea|Dyspepsia|Malaise|Asthma Exacerbation|Otitis Media|Allergic Reaction|Gastroenteritis|Cold Symptoms|Flu Syndrome|Lymphadenopathy|Skin/Appendage Infection|Urticaria|Migraine|Chest Pain|Central Nervous System|Cardiovascular|Arrythmias|Respiratory|In most cases of bronchospasm, this term was generally used to describe exacerbations in the underlying pulmonary disease.Bronchospasm|Gastrointestinal|Systemic|Dizziness|Nervousness|Sleeplessness|Ear, nose and throat|Nasal congestion|Pharyngitis|Tachycardia|Bronchospasm|Wheezing|Tremor|Shakiness|Hyperactivity|Excitement|Disturbed sleep|Irritable behavior|Dilated pupils|Weakness|Palpitations|Sweating|Chest pain|Epistaxis|Increased appetite|Epigastric pain|Stomachache|Muscle spasm|Hypertensions|Central nervous system|Ear, nose, and throat|Musculoskeletal|Nervous|Drowsiness|Restlessness|Irritability|Chest discomfort|Flushing|Muscle cramps|Genitourinary|Difficulty in micturition"
"Albuterol Sulfate Hfa","Ear, nose, and throat|Throat irritation|Upper respiratory inflammation|Lower respiratory|Viral respiratory infections|Cough|Musculoskeletal|Musculoskeletal pain"
"Albuterol Sulfate Inhalation Solution","Asthma Exacerbation|Otitis Media|Allergic Reaction|Gastroenteritis|Cold Symptoms|Flu Syndrome|Lymphadenopathy|Skin/Appendage Infection|Urticaria|Migraine|Chest Pain|Bronchitis|Nausea"
"Aldara","Application Site Reaction|Upper Respiratory Tract Infection|Sinusitis|Headache|Carcinoma Squamous|Diarrhea|Eczema|Back Pain|Fatigue|Fibrillation Atrial|Infection Viral|Dizziness|Vomiting|Urinary Tract Infection|Fever|Rigors|Alopecia"
"Aldurazyme","Blood and lymphatic system disorders|Thrombocytopenia|Eye disorders|Corneal opacity|General disorders and administration site conditions|Chest pain|Face edema|Gravitational edema|Injection site pain|Injection site reaction|Hepatobiliary disorders|Hyperbilirubinemia|Infections and infestations|Abscess|Upper respiratory tract infection|Nervous system disorders|Hyperreflexia|Paresthesia|Skin and subcutaneous tissue disorders|Rash|Vascular disorders|Hypotension|Poor venous access"
"Alecensa","Gastrointestinal|Constipation|Nausea|Diarrhea|Vomiting|General|FatigueIncludes fatigue and asthenia.|EdemaIncludes peripheral edema, edema, eyelid edema, localized edema, and face edema.|Musculoskeletal|MyalgiaIncludes myalgia and musculoskeletal pain.|Skin|RashIncludes rash, rash maculo-papular, dermatitis acneiform, erythema, generalized rash, rash macular, rash papular, exfoliative rash, and pruritic rash.|Nervous system|DysgeusiaIncludes dysgeusia and hypogeusia.|Eye|Vision disordersIncludes blurred vision, visual impairment, vitreous floaters, reduced visual acuity, and diplopia.|Cardiac|BradycardiaIncludes reported cases of bradycardia and sinus bradycardia but is not based on serial ECG assessment.|Renal|Renal impairmentIncludes increased blood creatinine, creatinine renal clearance decreased, glomerular filtration rate decreased, and acute kidney injury."
"Alendronate","Gastrointestinal|abdominal pain|nausea|dyspepsia|constipation|diarrhea|flatulence|acid regurgitation|esophageal ulcer|vomiting|dysphagia|abdominal distention|gastritis|Musculoskeletal|Musculoskeletal (bone, muscle or joint) pain|muscle cramp|Nervous System/Psychiatric|headache|dizziness|Special Senses|taste perversion|musculoskeletal (bone, muscle or joint) pain"
"Alendronate Sodium","Gastrointestinal|abdominal pain|nausea|dyspepsia|constipation|diarrhea|flatulence|acid regurgitation|esophageal ulcer|vomiting|dysphagia|abdominal distention|gastritis|Musculoskeletal|musculoskeletal (bone, muscle or joint) pain|muscle cramp|Nervous System/Psychiatric|headache|dizziness|Special Senses|taste perversion|Musculoskeletal (bone, muscle or joint) pain"
"Alfuzosin Hydrochloride","Dizziness|Upper respiratory tract infection|Headache|Fatigue|Dizziness Upper respiratory tract infection Headache Fatigue"
"Alimta","Nausea|Constipation|Diarrhea|Vomiting|Fatigueb|Pyrexia|Rashc|Cough|Dyspnea"
"Aliqopa","Metabolism and nutrition disorders|Hyperglycemia|Blood and lymphatic system disorders|Leukopenia|Neutropenia (including febrile neutropenia)|Thrombocytopenia|General disorders and administration site conditions|Decreased general strength and energy (includes fatigue and asthenia)|Gastrointestinal disorders|Diarrhea|Nausea|Stomatitis (includes oropharyngeal erosion and ulcer, oral pain)|Vomiting|Vascular disorders|Hypertension (includes secondary hypertension)|Infections|Lower respiratory tract infections (includes pneumonia, pneumonia bacterial, pneumonia pneumococcal, pneumonia fungal, pneumonia viral, pneumocystis jiroveci pneumonia, bronchopulmonary aspergillosis and lung infection)|Skin and subcutaneous tissue disorders|Rash (includes exfoliative skin reactions)"
"Alkindi Sprinkle","Pyrexia|Gastroenteritis|Viral upper respiratory tract infection|Vomiting|Viral infection|Conjunctivitis|Otitis media viral|Tonsillitis|Body temperature increased|Bronchitis|Dental caries|Diarrhea|Genitourinary operation|Pharyngitis|Respiratory tract infection|Rhinitis"
"Allopurinol","Cutaneous/Dermatologic:|Genitourinary:|Gastrointestinal:"
"Almotriptan","Digestive Disorders|Nausea|Dry Mouth|Nervous System Disorders|Paresthesia"
"Almotriptan Malate","Digestive Disorders|Nausea|Dry mouth|Nervous System Disorders|Paresthesia|Dry Mouth"
"Alogliptin","Nasopharyngitis|Upper Respiratory Tract Infection|Headache"
"Alogliptin And Metformin Hydrochloride","Upper respiratory tract infection|Nasopharyngitis|Diarrhea|Hypertension|Headache|Back pain|Urinary tract infection"
"Alogliptin And Pioglitazone","Nasopharyngitis|Back Pain|Upper Respiratory Tract Infection"
"Alosetron","Gastrointestinal|Constipation|Abdominal discomfort and pain|Nausea|Gastrointestinal discomfort and pain|Abdominal distention|Regurgitation and reflux|Hemorrhoids"
"Alosetron Hydrochloride","Gastrointestinal Constipation Abdominal discomfort and pain Nausea Gastrointestinal discomfort and pain Abdominal distention Regurgitation and reflux Hemorrhoids|Gastrointestinal|Constipation|Abdominal discomfort and pain|Nausea|Gastrointestinal discomfort and pain|Abdominal distention|Regurgitation and reflux|Hemorrhoids"
"Aloxi","Event|Headache|Constipation|Diarrhea|Dizziness|Fatigue|Abdominal Pain|Insomnia"
"Alprazolam","Central Nervous System|Drowsiness|Light-headedness|Depression|Headache|Confusion|Insomnia|Nervousness|Syncope|Dizziness|Akathisia|Gastrointestinal|Dry Mouth|Constipation|Diarrhea|Nausea/Vomiting|Increased Salivation|Cardiovascular|Tachycardia/Palpitations|Hypotension|Sensory|Blurred Vision|Musculoskeletal|Rigidity|Tremor|Cutaneous|Dermatitis/Allergy|Other|Nasal Congestion|Weight Gain|Weight Loss|Number of Patients|Nervous system disorders Drowsiness Light-headedness Dizziness Akathisia Gastrointestinal disorders Dry mouth Increased salivation|Cardiovascular disorders Hypotension Skin and subcutaneous tissue disorders Dermatitis/allergy|Nervous system disorders|Gastrointestinal disorders|Dry mouth|Increased salivation|Cardiovascular disorders|Skin and subcutaneous tissue disorders|Dermatitis/allergy|Tiredness/Sleepiness|Reporting:|Nervous system disordersDrowsiness Light-headedness Dizziness Akathisia Gastrointestinal disordersDry mouth Increased salivation|Cardiovascular disordersHypotensionSkin and subcutaneous tissue disordersDermatitis/allergy|Central Nervous System Drowsiness Light-headedness Depression Headache Confusion Insomnia Nervousness Syncope Dizziness Akathisia Tiredness/Sleepiness|Gastrointestinal Dry Mouth Constipation Diarrhea Nausea/Vomiting Increased Salivation|Cardiovascular Tachycardia/Palpitations Hypotension|Sensory Blurred Vision|Musculoskeletal Rigidity Tremor|Cutaneous Dermatitis/Allergy|Other Nasal Congestion Weight Gain Weight Loss|Sedation|Lightheadedness|Nervous system disordersDrowsiness Light-headedness Dizziness Akathisia Gastrointestinal disorders Dry mouth Increased salivation|Nervous system disordersDrowsinessLight-headednessDizzinessAkathisiaGastrointestinal disordersDry mouthIncreased salivation|Nervous system disorders Sedation Somnolence Dysarthria Coordination abnormal Memory impairment|General disorders/administration site conditions Fatigue|Psychiatric disorders Depression|Nervous system disordersSedationSomnolenceDysarthriaCoordination abnormalMemory impairment|Nervous system disorders Drowsiness Light-headedness Dizziness AkathisiaGastrointestinal disorders Dry mouth Increased salivation|Cardiovascular disordersHypotensionSkin and subcutaneous tissue disorders Dermatitis/allergy|Light-Headedness"
"Alprazolam Extended Release","Nervous system disorders|Sedation|Somnolence|Dysarthria|Coordination abnormal|Memory impairment|General disorders/administration site conditions|Fatigue|Psychiatric disorders|Depression"
"Alprazolam Xr","Nervous system disorders|Sedation|Somnolence|Dysarthria|Coordination abnormal|Memory impairment|General disorders/administration site conditions|Fatigue|Psychiatric disorders|Depression"
"Altabax","Headache|Application site irritation|Diarrhea|Nausea|Nasopharyngitis|Creatinine phosphokinase increased"
"Altreno","Application site dryness|Application site painApplication site pain defined as application site stinging, burning or pain.|Application site erythema|Application site irritation|Application site exfoliation"
"Alunbrig","Diarrhea|Nausea|Abdominal painIncludes abdominal discomfort, abdominal distension, abdominal pain, abdominal pain lower, abdominal pain upper, and epigastric discomfort|Vomiting|Constipation|StomatitisIncludes aphthous ulcer, mouth ulceration, oral mucosal blistering and stomatitis|Dyspepsia|Gastroesophageal reflux disease|RashIncludes dermatitis, dermatitis acneiform, dermatitis bullous, dermatitis contact, drug eruption, erythema, palmar-plantar erythrodysesthesia syndrome, rash, rash erythematous, rash macular, rash maculo-papular, rash papular, rash pruritic, rash pustular, toxic skin eruption, urticaria|PruritusIncluded pruritus, allergic pruritus, and generalized pruritus|Cough|DyspneaInclude dyspnea and exertional dyspnea|ILD/Pneumonitis|Pulmonary embolism|Hypertension Includes hypertension and systolic hypertension|FatigueIncludes asthenia and fatigue|EdemaIncludes angioedema, eye swelling, eyelid edema, face edema, generalized edema, lip swelling, peripheral edema, periorbital edema, peripheral swelling, skin swelling, swelling and swelling face|Pyrexia|MyalgiaIncludes muscle spasms, muscle twitching, musculoskeletal discomfort, musculoskeletal pain, and myalgia|Back pain|Arthralgia|Pain in extremity|HeadacheIncludes headache and migraine|Dizziness|Peripheral neuropathyIncludes burning sensation, dysesthesia, hyperesthesia, hypoesthesia, neuralgia, peripheral neuropathy, paraesthesia, peripheral sensory neuropathy and polyneuropathy|Dysgeusia|Increased Blood cholesterolIncludes blood cholesterol increased, hypercholesterolaemia|BradycardiaIncludes bradycardia, heart rate decreased, sinus bradycardia|PneumoniaIncludes lower respiratory tract infection, lung infection, pneumonia, aspiration pneumonia, and cryptococcal pneumonia|Upper respiratory tract infectionIncludes upper respiratory tract infection and viral upper respiratory tract infection|Nasopharyngitis|Urinary tract infection|Decreased Appetite|Visual DisturbanceIncludes cataract, glaucoma, hypermetropia, night blindness, papilloedema, photophobia, photopsia, blurred vision, reduced visual acuity, visual field defect, visual impairment, and vitreous floaters"
"Alvesco","Headache|Nasopharyngitis|Sinusitis|Pharyngolaryngeal pain|Upper respiratory Inf.|Arthralgia|Nasal congestion|Pain in extremity|Back pain"
